Movie_name,Movie_Genre,Movie_Certification,Release,Runtime,Lead_Actor,Lead_Actress,Movie_Critic_Rating,Movie_User_Rating,Movie_Synopsis,Movie_Full_Cast
Mersal,Action,UA,18 Oct 2017,2 hrs 50 mins,Vijay,Samantha Ruth Prabhu,3.5,3.8,"With Mersal, we have got this year's most engaging mass masala movie. When you have a mass hero in full form like Vijay is in the film, how can things go wrong?","Vijay, Samantha, Kajal Aggarwal, Nithya Menen, SJ Suryah, Sathyaraj, Vadivelu, Kovai Sarala, Haresh Peradi"
Meyaadha Maan,Comedy,UA,18 Oct 2017,2 hrs 27 mins,Vaibhav Reddy,Priya Bhavani Shankar,3.5,3.3,"A youngster who loves a girl tries to commit suicide and to dissuade him, his friend reaches out to the girl, setting in motion events that unexpectedly turn out to be life changing.","Vaibhav Reddy, Priya Bhavani Sankar, Vivek Prasanna, Indhuja"
Thupparivaalan,Action,UA,14 Sep 2017,2 hrs 39 mins,Vishal,Andrea,3.5,3.5,"What sets Thupparivaalan apart is how it not only thrills us but also makes us feel, and that is Mysskin’s triumph.","Vishal, Prasanna, Vinay, Bhagyaraj, Andrea Jeremiah, Anu Emmanuel, Shaji, Abhishek, Simran, John Vijay, Thalaivasal Vijay"
One Heart: The AR Rahman Concert Film,Documentary,U,31 Aug 2017,1 hr 26 mins,,,3.5,3.4,"As a first-of-its-kind concert film from India, One Heart works, because, ultimately, it is all about the music!","AR Rahman, Ranjit Barot, Ann Marie Calhoun, Haricharan Seshadri, Jonita Gandhi, Annette Philip, Mohini Dey, Keba Jeremiah, Devi Rani Najev, Karthikeyan Devarajan, Sanket Athale, Shiraz Uppal, Ashwin Srinivasan"
Taramani,Drama,A,11 Aug 2017,2 hrs 30 mins,,Andrea,3.5,3.6,"Apart from narrating the stories of a few characters, Taramani also attempts to remind people about how life should be lived.","Andrea Jeremiah, Vasanth Ravi, Anjali, Azhagam Perumal, Adrian Knight Jesly"
Nibunan,Thriller,UA,28 Jul 2017,2 hrs 17 mins,Arjun,Varalaxmi Sarathkumar,3.5,3.5,"Nibunan is a thriller loaded with suspense, mystery, serial murders, sentiments and more.","Arjun, Varalaxmi Sarathkumar, Prasanna, Sruthi Hariharan, Vaibhav, Suman, Suhasini"
Vikram Vedha,Action,UA,21 Jul 2017,2 hrs 27 mins,Madhavan,Shraddha Srinath,3.5,3.9,A playful action film with more intrigue and less intensity.,"R Madhavan, Vijay Sethupathi, Shraddha Srinath, Varalaxmi Sarathkumar, Kathir, Haresh Peradi, Prem, Achyutha Kumar"
Pandigai,Action,UA,14 Jul 2017,2 hrs 30 mins,Kreshna,Anandhi,3.5,3.3,"A low-level hotel worker gets involved in a street fighting racket on the advice of a compulsive gambler. When the duo realise they have been duped by the gangster controlling the racket, they decided to rob him…","Kreshna, Anandhi, Saravanan, Madhusudhanan, Black Pandi, Nitinsathyaa, Aruldoss, Karunaas, Shanmugarajan, Arjai"
Ivan Thanthiran,Thriller,UA,30 Jun 2017,2 hrs 1 min,Gautham Karthik,Shraddha Srinath,3.5,3.4,Synopsis:Director has deftly handled a subject line often used in Tamil cinema rather innovatively.,"Gautham Karthik, RJ Balaji, Shraddha Srinath, Super Subbarayan, Stunt Silva"
Maragatha Nanayam,Comedy,U,15 Jun 2017,2 hrs 12 mins,Adhi,Nikki Galrani,3.5,3.8,"Maragatha Nanayam does take some time to set up its characters, but once the plot kicks in, the film starts to entertain, handsomely.","Adhi, Nikki Galrani, Ramadas, Anandraj, Daniel Pope, Arunraja Kamaraj, Sangili Murugan, MS Bhaskar, Brahmanandam, Kaali Venkat"
Rangoon,Thriller,UA,09 Jun 2017,2 hrs 7 mins,Gautham Karthik,Sana Siddique,3.5,3.5,"The casting, interesting screenplay with twists and turns at the right time makes the film impressive.","Gautham Karthik, Sana, Siddique, Daniel Annie Pope, Anand"
Pa. Paandi,Drama,UA,14 Apr 2017,2 hrs 5 mins,Dhanush,Madonna Sebastian,3.5,3.7,"Dhanush gives us a heartwarming film that, despite its conventional storytelling, packs in a huge emotional wallop.","Rajkiran, Prasanna, Chaya Singh, Revathy, Dhanush, Madonna Sebastian"
8 Thotakkal,Crime,U,07 Apr 2017,2 hrs 25 mins,Vetri ,Aparna Balamurali,3.5,3.4,"Taking the set-up of Akira Kurosawa’s Stray Dog (credited as an inspiration), Sri Ganesh gives us a slow-burning cop thriller","Vetri, Aparna Balamurali, MS Bhaskar, Nasser, Mime Gopi, Manikandan, Lallu, Meera Mithun, Charles Vinoth"
Kadugu,Drama,U,23 Mar 2017,1 hr 55 mins,Bharath,,3.5,3.7,"Kadugu is a return to form for Vijay Milton, and a make-good for subjecting us to the disappointment that was 10 Endrathukulla","Rajakumaran, Bharath, Radhika Prasiddha, Subhiksha, Bharath Seeni, A Venkatesh, Dhaya Vekat, Sakthi"
Kuttram 23,Thriller,UA,03 Mar 2017,2 hrs 34 mins,Arun Vijay,Mahima Nambiar,3.5,4,Kuttram 23 is slickly made pulp (the story is by crime novel specialist Rajeshkumar) that unfolds as a tense investigative thriller.,"Arun Vijay, Mahima Nambiar, Vamsi Krishna, Thambi Ramaiah, Aravind Akash, Abinaya, Arvind Bhargav"
Kadhal Kan Kattuthe,Romance,UA,17 Feb 2017,1 hr 50 mins,,Athulya,3.5,3.8,"This refreshing little romance does this in an impressive manner, even while ticking all the genre indispensables.","KG, Athulya, Shivaraj R, Aneeruth"
Adhe Kangal,Crime,UA,26 Jan 2017,2 hrs 0 mins,Kalaiyarasan,Janani,3.5,3.5,What’s most impressive about Adhe Kangal is how it treats its two female leads. They aren’t just romantic interests but have a larger role to play,"Kalaiyarasan, Janani, Sshivada, Balasaravanan, Oomai Vizhigal Arvindhraj, Abdool, Abishek Joseph George"
Balloon,Horror,UA,29 Dec 2017,2 hrs 26 mins,Jai,Anjali,3,3,"Balloon works mainly because it has some solid scares, a lot of zingy one-liners and a bit of inventiveness.","Jai, Anjali, Janani Iyer, Yogi Babu"
Ulkuthu,Drama,U,29 Dec 2017,2 hrs 11 mins,Dinesh,Nandita Swetha,3,3.1,"Ulkuthu is a Tamil movie released on 12 May, 2017. The movie is directed by Caarthick Raju and featured Dinesh, Nandita Swetha and Chaya Singh as lead characters. Other popular actors who were roped in for Ulkuthu are Bala Saravanan, Rajendran and John Vijay.","Dinesh, Nandita Swetha, Chaya Singh, Bala Saravanan, Rajendran, John Vijay"
Solo,Drama,UA,14 Oct 2017,2 hrs 32 mins,Dulquer Salmaan,Sai Dhanshika,3,3.1,"As a narrative experiment, Solo is kind of underwhelming as it works only in parts, but there is quite a lot to savour","Dulquer Salmaan, Sai Dhanshika, Arti Venkatesh, Sruthi Hariharan, Neha Sharama, Sathish, John Vijay, Anson Paul, Azhagamperumal, Ann Augustine, Prakash Belawadi, Manoj K Jayan, Qaushiq Mukherjee, Sai Tamhankar, Nasser, Suhasini, Suresh Menon, Dino Morea"
Theru Naaigal,Thriller,UA,22 Sep 2017,1 hr 42 mins,,,3,3,"As a debut film, Theru Naaigal manages to be a minor success","Prateek, Pavel Navageethan, Appukutty, Madhusudhanan, Mime Gopi, Akshatha, Mime Gopi, Imman Annachi"
Magalir Mattum,Drama,U,15 Sep 2017,2 hrs 20 mins,,Jyothika,3,3.2,The film walks the middle ground between lecturing and showing us the inequality that exists in our society.,"Jyotika, Urvashi, Bhanupriya, Saranya Ponvannan, Nasser, Livingston, Pavel Navageethan, Madhavan, Vidhaarth, Luthfudeen"
Kodi,Action,U,28 Oct 2016,2 hrs 20 mins,Dhanush,Trisha Krishnan,4,4.2,The real surprise in Kodi is how the director manages to makes this plot feel gritty within the boundaries of commercial cinema,"Dhanush, Trisha, Anupama Parameswaran, Saranya Ponvannan, Kaali Venkat, SA Chandrasekaran, Vijayakumar, Marimuthu, Karunaas"
Uriyadi,Thriller,UA,27 May 2016,2 hrs 6 mins,Vijay Kumar,,4,4.2,"Uriyadi displays a daring that belies its small-budget, first-film credentials, and stakes its claim in the list of the best films of the year.","Vijay Kumar, Mime Gopi, Citizen Sivakumar"
24,Sci-Fi,U,06 May 2016,2 hrs 44 mins,Suriya,Samantha Ruth Prabhu,4,4.3,"A script that is not simplistic or formulaic, but Suriya pulls it off admirably.","Suriya, Samantha, Nithya Menen, Saranya Ponvannan, Ajay, Sathyan, Girish Karnad"
Visaaranai,Thriller,UA,05 Feb 2016,1 hr 57 mins,Dinesh,,4,4.3,"Visaaranai is an uncompromising, hard-hitting and spine-chilling account of abuse of power.","Dinesh, Samuthirakani, Kishore, Aadukalam Murugadoss, Ajay Ghosh, Anandhi, E Ramadas"
Dhurvangal Pathinaaru,Thriller,UA,29 Dec 2016,1 hr 45 mins,,,3.5,3.6,"The strength of Dhurvangal Pathinaaru lies in the filmmaking, which dazzles us enough.","Rahman, Prakash, Delhi Ganesh, Santhosh Krishna, Praveen, Yashika, Anjana, Sarathkumar"
Chennai 600028 II: Second Innings,Sports,U,09 Dec 2016,2 hrs 34 mins,Jai,Sana Althaf,3.5,3.6,The stakes are higher this time only makes it even more nail-bitingly exciting.,"Jai, Shiva, Nitinsathyaa, Premgi Amaren, Vijay Vasanth, Ajay Raj, Vaibhav, Abhinay Vaddi, Sana Althaf, Vijayalakshmi, Anjena Kriti, Mahat Raghavendra, Ilavarasu, Inigo Prabhakaran"
Saithan,Mystery,UA,01 Dec 2016,2 hrs 4 mins,Vijay Antony,Arundhathi Nair,3.5,3.6,"The film unfolds as a mystery thriller, but it is only in the end that we realise that it is a mass hero movie masquerading as something else.","Vijay Antony, Arundhathi Nair, Y Gee Mahendra, Kitty, Murugadoss, Meera Krishna, Charuhasan, Siddhartha Shankar"
Kaashmora,Horror,UA,28 Oct 2016,2 hrs 38 mins,Karthik,Nayanthara,3.5,3.4,"The film contains the usual horror comedy tropes, but presents them all in a slightly different way, and at a grander scale","Karthi, Nayanthara, Sri Divya, Vivekh, Sharath Lohitashwa, Madhusudhan"
Ammani,Drama,U,14 Oct 2016,1 hr 32 mins,,,3.5,3.4,"The understated writing is matched by the unobtrusive filmmaking, which revels in the film's milieu.","Lakshmy Ramakrishnan, Subbalakshmi R, Nitin Sathyaa, George Maryan, Sri Balaji, Robo Shankar"
Aandavan Kattalai,Comedy,U,23 Sep 2016,2 hrs 30 mins,Vijay Sethupathi,Ritika Singh,3.5,3.9,"The film is somewhat leisurely paced, but that isn’t much of an issue, as the scenes are engaging.","Vijay Sethupathi, Ritika Singh, Yogi Babu, Nasser, Pooja Devariya, George, Vinodhini, SS Stanley"
Kutrame Thandanai,Crime,UA,02 Sep 2016,1 hr 39 mins,,Aishwarya Rajesh,3.5,3.4,Kutrame Thandanai is a solid low-key thriller that is also an understated morality play,"Vitharth, Aishwarya Rajesh, Pooja Devariya, Rahman, Nasser, Guru Somasundaram, Marimuthu"
Joker,Drama,UA,12 Aug 2016,2 hrs 10 mins,,,3.5,3.6,Raju Murugan strikes the right balance between drama and comedy.,"Guru Somasundaram, Mu Ramasamy, Gayathri Krishna, Ramya Pandian, Bava Chelladurai"
Oru Naal Koothu,Drama,UA,10 Jun 2016,2 hrs 14 mins,Dinesh,Nivetha Pethuraj,3.5,3.4,What doesn’t work are the filmi touches that Nelson adds to the narrative.,"Dinesh, Nivetha Pethuraj, Miya George, Riythvika, Ramesh Thilak, Bala Saravanan, Karunakaran, Charlie, Nagineedu"
Iraivi,Drama,UA,03 Jun 2016,2 hrs 40 mins,Vijay Sethupathi,,3.5,3.7,"Karthik’s writing is novelistic, with each character having their own well-sketched arcs.","SJ Suryah, Vijay Sethupathi, Bobby Simhaa, Anjali, Kamalinee Mukherjee, Radha Ravi, Pooja Devariya, Seenu Mohan, Vijai Murugan, Vadivukkarasi, Karunakaran"
Kadhalum Kadanthu Pogum,Romance,UA,11 Mar 2016,2 hrs 17 mins,Vijay Sethupathi,,3.5,3.9,This is a film where the magic lies in lingering on — rather than rushing through — in this world.,"ijay Sethupathi, Madonna Sebastian, Samuthirakani, DRK Kiran"
Aviyal,Short,UA,11 Mar 2016,1 hr 56 mins,Bobby Simha,,3.5,3.3,An anthology of short films with preludes linked by their genre,"Bobby Simhaa, Nivin Pauly, Rohit Nandakumar, Arjunan Nandakumar, Amrutha Srinivasan"
Sethupathi,Action,UA,19 Feb 2016,2 hrs 1 min,Vijay Sethupathi,Ramya Nambeesan,3.5,3.5,There is hardly any lull in the film and we just go along on this entertaining ride.,"Vijay Sethupathi, Remya Nambeesan, Vela Ramamurthy"
Irudhi Suttru,Drama,UA,29 Jan 2016,1 hr 52 mins,Madhavan,Ritika Singh,3.5,3.9,Irudhi Suttru manages to land punches that constantly surprise us.,"R Madhavan, Ritika Singh, Mumtaz Sorcar, Nasser, Radha Ravi, Zakir Hussain, Kaali Venkat"
Achamindri,Action,UA,30 Dec 2016,2 hrs 3 mins,Vijay Vasanth,Srushti Dange,3,3.2,Rajapandi nicely ties in all three strands to the central conflict of the film.,"Vijay Vasanth, Srushti Dange, Samuthirakani, Radha Ravi, Saranya Ponvannan, Vidya Pradeep, Jayakumar, Bharat Reddy, Karunas, Thalaivasal Vijay"
Mo,Horror,UA,30 Dec 2016,2 hrs 10 mins,,Aishwarya Rajesh,3,3.1,"A sincere attempt, Mo is devoid of a some of the regular horror-comedy elements and offers a satisfying watch.","Aishwarya Rajesh, Suresh Ravi, Ramesh Thilak, Muniskanth, Darbuka Siva, Yogi Babu, Mime Gopi, Selva"
Pazhaya Vannarapettai,Thriller,UA,02 Dec 2016,2 hrs 17 mins,Nishanth,Ashmita,3,3.5,"For a first-time effort, Pazhaya Vannarapettai is quite impressive","Prajin, Nishanth, Richard, Ashmita, Kajal, Dheena, Karunas, Manimaran"
Maaveran Kittu,Drama,U,02 Dec 2016,2 hrs 5 mins,Vishnu Vishal,Sri Divya,3,3.3,"Maveeran Kittu is earnest, and made with the competence that we have to expect from Suseenthiran, but lacks punch.","Vishnu Vishal, Sri Divya, Radhakrishnan Parthiban, Harish Uthaman, Nagineedu, Soori, Kayal Pereira"
Ilami,History,UA,25 Nov 2016,1 hr 49 mins,,,3,3.2,"Ilami feels very raw and the writing, too, is conventional upto a point.","Yuvan, Anu Krishna, Akhil, Kishore, Ravi Mariya, Vikramadithan, Thavasi, Vellaiyandi"
Remo,Romance,UA,07 Oct 2016,2 hrs 30 mins,Sivakarthikeyan,Keerthy Suresh,3,3.1,The film is a rejig of elements that we have seen in other films earlier.,"Sivakarthikeyan, Keerthy Suresh, Sathish, Saranya Ponvannan, KS Ravikumar, Naan Kadavul Rajendran, Yogi Babu, Adukalam Naren"
Devi(L),Horror,UA,07 Oct 2016,2 hrs 5 mins,Prabhudeva,Tamannaah,3,3.2,Vijay gives us a story that is quite simple and at the same time empathetic.,"Prabhudheva, Tamannaah, Sonu Sood, RJ Balaji, Murali Sharma, Nasser, Sathish"
Thodari,Thriller,U,22 Sep 2016,2 hrs 49 mins,Dhanush,Keerthy Suresh,3,3.1,There’s isn’t a properly focused plot as such (at least until the interval) and the film chugs along like a series of incidents that happen inside a train,"Dhanush, Keerthy Suresh, Radha Ravi, Thambi Ramaiah, Karunakaran, Harish Uthaman, Darbuka Siva, Ganesh Venkatram"
Iru Mugan,Action,UA,09 Sep 2016,2 hrs 35 mins,Vikram,Nayanthara,3,3.3,"If Anand Shankar’s previous film Arima Nambi had echoes of K Bhagyaraj’s Rudhra, the set-up of Iru Mugan recalls that of Kamal Haasan’s Vikram","Vikram, Nayanthara, Nithya Menen, Thambi Ramaiah, Nasser, Karunakaran, Riythvika"
Kidaari,Action,UA,02 Sep 2016,2 hrs 19 mins,Sasikumar,Nikhila Vimal,3,3,"There is a whiff of Gangs Of Wasseypur in the film’s proceedings: the usage of the device of a narrator to tell us the bloody events of the past, the numerous rivalries, the stark cinematography and the grungy score","M Sasikumar, Nikhila Vimal, Vela Ramamoorthy, Napoleon, OAK Sundar, Suja Varunee"
Meendum Oru Kadhal Kadhai,Romance,UA,26 Aug 2016,2 hrs 24 mins,,Isha Talwar,3,3.1,"Synopsis:For those who have seen the original, there is enough here for someone looking for light-hearted entertainment.","Walter Philips, Isha Talwar, Manoj K Jayan, Nasser, Arjunan, Thalaivasal Vijay, Vidyullekha, Venkatesh Harinathan"
Dharmadurai,Drama,UA,19 Aug 2016,2 hrs 27 mins,Vijay Sethupathi,Tamannaah,3,3.4,"The film does have genuinely affecting moments, and actors enhance the ordinary writing in many of the scenes.","Vijay Sethupathi, Tamannaah, Aishwarya Rajesh, Radikaa Sarathkumar, Srushti Dange, MS Bhaskar, Ganja Karuppu, Aruldas"
Sankarabharanam,Musical,UA,03 Dec 2015,2 hrs 23 mins,,,4,4.2,This film is a textbook example of how music and storytelling can go hand-in-hand to create a brilliant film.,"JV Somayajulu, Manju Bhargavi, Allu Ramalingaiah, Rajalakshmi, Chandramohan, Baby Thulasi"
Naanum Rowdy Dhaan,Comedy,UA,21 Oct 2015,2 hrs 19 mins,Vijay Sethupathi,Nayanthara,4,4.2,Vignesh Shivan displays a lightness of touch throughout that makes the film so much fun.,"Vijay Sethupathy, Nayanthara, Radhakrishnan Parthiban, Radikaa Sarathkumar, RJ Balaji, Anandraj, Azhagamperumal"
Thani Oruvan,Thriller,UA,28 Aug 2015,2 hrs 39 mins,Jayam Ravi,Nayanthara,4,4.5,"An efficient thriller that packs a mighty punch, and some sleek filmmaking that's thoroughly entertaining","Jayam Ravi, Nayanthara, Arvind Swami, Thambi Ramaiah, Nasser, Mugdha Godse, Ganesh Venkatraman, Vamsi Krishna"
Veerapandiya Kattabomman,History,UA,21 Aug 2015,3 hrs 0 mins,,,4,4.3,A film that glorifies the fearless Kattabomman - a stuff of the legends,"Sivaji Ganesan, Gemini Ganesan, Padmini, S Varalakshmi, VK Ramasamy, Javar Seetharaman, OAK Thevar, A Karunanidhi, CR Parthiban"
Baahubali: The Beginning,Action,U,09 Jul 2015,2 hrs 38 mins,Prabhas,Anushka,4,4.5,Terrific masala moments are packed in at regular intervals that we are constantly in thrall.,"Prabhas, Rana Daggubati, Anushka, Tamannaah, Ramya Krishnan, Sathyaraj, Nasser, Prabhakar, Rohini"
Papanasam,Drama,UA,03 Jul 2015,3 hrs 0 mins,Kamal Hassan,Nivetha Thomas,4,4.5,"The film is a frameby-frame remake of the Malayalam original, but the local milieu is well realized","Kamal Haasan, Gauthami, Nivetha Thomas, Asha Sarath, Ananth Mahadevan, Kalabahavan Mani, MS Bhaskar, Roshan"
Kaaka Muttai,Drama,UA,05 Jun 2015,1 hr 49 mins,,Aishwarya Rajesh,4,4.3,"A warm and inviting feel-good film about two slum kids, who aspire to have pizza","Ramesh, Vignesh, Aishwarya Rajesh, Joe Malloori, RJ Ramesh, Yogi Babu, Babu Antony, Krishnamoorthy"
Anegan,Fantasy,UA,13 Feb 2015,2 hrs 39 mins,Dhanush,Amyra Dastur,4,4.1,Anegan is pure camp but also a hugely entertaining one,"Dhanush, Amyra Dastur, Karthik, Ashish Vidyarthi, Jagan, Aishwarya Devan, Mukesh Tiwari, Thalaivasal Vijay"
144,Comedy,UA,27 Nov 2015,2 hrs 13 mins,Shiva,Oviya helen,3.5,3.4,"There is so much to like in this film, when you look past its initial hiccups.","Shiva, Ashok Selvan, Oviya, Shruthi Ramakrishna, Munishkanth, Udhayabhanu Maheswaran, Madhusudhan"
